State_Code,Tweets_Cnt,Tweets_Cnt_Trump,Tweets_Cnt_Biden,Likes,Retweets,Participation,Followers,Turnout_Rate,Blue_Votes_Percent,Blue_Votes,Red_Votes_Percent,Red_Votes,Winner,State_Name,State_Code2,Population
AK,740,311,429,426.2,112.4,10.1,3096.2,68.4,42.8,"153,778",52.8,"189,951",R,Alaska,AK,731158
AL,1738,860,878,1839.8,432.2,3.5,6955.2,63.1,36.6,"849,624",62,"1,441,170",R,Alabama,AL,4921532
AR,1205,687,518,591.2,166.8,3.6,4821.3,55.9,34.8,"423,932",62.4,"760,647",R,Arkansas,AR,3030522
AZ,6250,2922,3328,2682,572.2,8.2,2947.5,65.5,49.4,"1,672,143",49.1,"1,661,686",B,Arizona,AZ,7421401
CA,56972,31156,25816,2028,409,14.5,7780.9,67.4,63.5,"11,110,250",34.3,"6,006,429",B,California,CA,39368078
CO,6305,3618,2687,1124.2,296.6,10.9,3827.5,75.5,55.4,"1,804,352",41.9,"1,364,607",B,Colorado,CO,5807719
CT,3819,2207,1612,2840.8,1418.6,5.7,4954.9,70.1,59.2,"1,080,680",39.2,"715,291",B,Connecticut,CT,3557006
DC,16739,9684,7055,22297.4,5398.6,234.8,35432.9,63.7,92.1,"317,323",5.4,"18,586",B,District of Columbia,DC,712816
DE,590,252,338,503.2,130.8,5.8,1697.7,70,58.7,"296,268",39.8,"200,603",B,Delaware,DE,986809
FL,29929,16625,13304,1575,547.6,13.7,27596.3,71.3,47.9,"5,297,045",51.2,"5,668,731",R,Florida,FL,21733312
GA,6201,2945,3256,2417.4,658.8,5.7,12483.7,67.7,49.5,"2,473,633",49.2,"2,461,854",B,Georgia,GA,10710017
HI,1341,706,635,882.2,198,9.5,8408.9,57,63.7,"366,130",34.3,"196,864",B,Hawaii,HI,1407006
IA,1452,880,572,1372,423.8,4.6,5498.8,72.8,44.9,"759,061",53.1,"897,672",R,Iowa,IA,3163561
ID,1012,608,404,580.2,131.8,5.5,2564.5,67.2,33.1,"287,021",63.8,"554,119",R,Idaho,ID,1826913
IL,12277,6777,5500,1300.4,330.2,9.8,6289.0,66.9,57.5,"3,471,915",40.6,"2,446,891",B,Illinois,IL,12587530
IN,3108,1556,1552,809.6,161.6,4.6,1394.4,60.7,41,"1,242,498",57,"1,729,857",R,Indiana,IN,6754953
KS,1788,900,888,1294,477.6,6.1,4048.6,65.7,41.5,"570,323",56.1,"771,406",R,Kansas,KS,2913805
KY,2680,1484,1196,1814.2,829.6,6.0,5087.5,64.5,36.2,"772,474",62.1,"1,326,646",R,Kentucky,KY,4477251
LA,3998,2162,1836,2037.4,343.6,4.6,5325.7,63.7,39.9,"856,034",58.5,"1,255,776",R,Louisiana,LA,4645318
MA,8757,4865,3892,1217.6,256.6,12.3,8224.0,71.6,65.6,"2,382,202",32.1,"1,167,202",B,Massachusetts,MA,6893574
MD,7207,3925,3282,1575.4,521.2,7.0,2075.9,70.4,65.4,"1,985,023",32.2,"976,414",B,Maryland,MD,6055802
ME,715,398,317,908.4,155,5.3,2780.8,75.5,53.1,"435,072",44,"360,737",B,Maine,ME,1350141
MI,6145,3065,3080,901.2,238.4,6.1,2608.7,73.5,50.6,"2,804,040",47.8,"2,649,852",B,Michigan,MI,9966555
MN,3443,1821,1622,745.4,162.6,6.1,2197.7,79.6,52.4,"1,717,077",45.3,"1,484,065",B,Minnesota,MN,5657342
MO,4317,2440,1877,721.8,205,6.6,2456.3,65.7,41.4,"1,253,014",56.8,"1,718,736",R,Missouri,MO,6151548
MS,507,241,266,935.4,287,1.7,1111.8,59.7,41,"539,398",57.5,"756,764",R,Mississippi,MS,2966786
MT,499,188,311,2167.4,789.6,4.3,2490.2,72.1,40.5,"244,786",56.9,"343,602",R,Montana,MT,1080577
NC,6469,3415,3054,1088.2,318.8,6.1,2432.5,71.2,48.6,"2,684,292",49.9,"2,758,773",R,North Carolina,NC,10600823
ND,772,483,289,587.2,108.6,10.1,1135.6,64,31.8,"114,902",65.1,"235,595",R,North Dakota,ND,765309
NE,768,394,374,992.4,141.8,4.0,3341.9,69.1,39.2,"374,583",58.2,"556,846",R,Nebraska,NE,1937552
NH,3889,2295,1594,1142.8,242.6,4.8,3285.2,74.7,52.7,"424,921",45.4,"365,654",B,New Hampshire,NH,1366275
NJ,9006,5045,3961,3331.2,1288.2,10.1,8390.2,74.1,57.1,"2,608,335",41.3,"1,883,274",B,New Jersey,NJ,8882371
NM,948,502,446,860,146.8,4.5,2280.1,61,54.3,"501,614",43.5,"401,894",B,New Mexico,NM,2106319
NV,4621,2388,2233,5891.2,992,14.7,13663.2,65.2,50.1,"703,486",47.7,"669,890",B,Nevada,NV,3138259
NY,43886,22881,21005,20062.2,2680.2,22.7,14260.8,63.1,60.9,"5,244,006",37.7,"3,250,230",B,New York,NY,19336776
OH,8284,3871,4413,841.6,248.8,7.1,3098.1,67,45.2,"2,679,165",53.3,"3,154,834",R,Ohio,OH,11693217
